gene,cancer_type,tumor_expression,survival_association,geo_validation,depmap_dependency,normal_tissue_safety,mutation_cna_support,novelty_score,notes
MKI67,GBM,positive,negative,partial,strong,moderate,weak,low,Proliferation marker; strong biological signal but low novelty.
MLH1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Endometrial cancer; pathway context: Mismatch repair / MSI.
MSH2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Endometrial cancer; pathway context: Mismatch repair / MSI.
MSH6,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Endometrial cancer; pathway context: Mismatch repair / MSI.
MSLN,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Endometrial cancer; pathway context: Tumor antigen / adhesion.
MTOR,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Endometrial cancer; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Endometrial cancer; pathway context: Epithelial antigen / mucin biology.
MUC16,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Endometrial cancer; pathway context: Epithelial antigen / mucin biology.
MYC,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Endometrial cancer; pathway context: MYC/proliferation program.
NECTIN4,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Endometrial cancer; pathway context: Tumor antigen.
NFE2L2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Endometrial cancer; pathway context: Oxidative stress / NRF2.
NOTCH1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Endometrial cancer; pathway context: Notch signaling.
NOTCH2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Endometrial cancer; pathway context: Notch signaling.
NRAS,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Endometrial cancer; pathway context: RAS-MAPK signaling.
PALB2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Endometrial cancer; pathway context: DNA repair / HRD.
PDCD1LG2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Endometrial cancer; pathway context: Immune checkpoint.
PIK3CA,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Endometrial cancer; pathway context: PI3K-AKT signaling.
PIK3R1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Endometrial cancer; pathway context: PI3K-AKT signaling.
PMS2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Endometrial cancer; pathway context: Mismatch repair / MSI.
POLE,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: POLE in Endometrial cancer; pathway context: Cancer-associated pathway context.
PPP2R1A,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PPP2R1A in Endometrial cancer; pathway context: Cancer-associated pathway context.
PTEN,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Endometrial cancer; pathway context: PI3K-AKT signaling.
RAD51,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Endometrial cancer; pathway context: DNA repair / HRD.
RB1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Endometrial cancer; pathway context: Cell cycle.
SMAD4,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Endometrial cancer; pathway context: TGF-beta signaling.
SMARCA4,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Endometrial cancer; pathway context: Chromatin remodeling.
SMARCB1,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Endometrial cancer; pathway context: Chromatin remodeling.
TERT,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Endometrial cancer; pathway context: Telomere maintenance.
TGFBR2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Endometrial cancer; pathway context: TGF-beta signaling.
TP53,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Endometrial cancer; pathway context: Tumor-suppressor pathway.
TROP2,Endometrial cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Endometrial cancer; pathway context: Tumor antigen.
VEGFA,Endometrial cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Endometrial cancer; pathway context: Angiogenesis / microenvironment.
AKT1,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Esophageal cancer; pathway context: PI3K-AKT signaling.
APC,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Esophageal cancer; pathway context: WNT signaling.
ARID1A,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Esophageal cancer; pathway context: Chromatin remodeling.
ARID1B,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Esophageal cancer; pathway context: Chromatin remodeling.
ATM,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Esophageal cancer; pathway context: DNA damage response.
ATR,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Esophageal cancer; pathway context: DNA damage response.
B2M,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Esophageal cancer; pathway context: Antigen presentation.
BRAF,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Esophageal cancer; pathway context: MAPK signaling.
BRCA1,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Esophageal cancer; pathway context: DNA repair / HRD.
BRCA2,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Esophageal cancer; pathway context: DNA repair / HRD.
CCND1,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Esophageal cancer; pathway context: Cell cycle.
CD274,Esophageal cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Esophageal cancer; pathway context: Immune checkpoint.
CD276,Esophageal cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Esophageal cancer; pathway context: Immune checkpoint / tumor antigen.
CDK4,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Esophageal cancer; pathway context: Cell cycle.
CDK6,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Esophageal cancer; pathway context: Cell cycle.
CDKN2A,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Esophageal cancer; pathway context: Cell cycle.
CDKN2B,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Esophageal cancer; pathway context: Cell cycle.
CHEK1,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Esophageal cancer; pathway context: DNA damage response.
CHEK2,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Esophageal cancer; pathway context: DNA damage response.
CLDN18,Esophageal cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Esophageal cancer; pathway context: Epithelial antigen / tight junction.
CREBBP,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Esophageal cancer; pathway context: Epigenetic regulation.
CTNNB1,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Esophageal cancer; pathway context: WNT signaling.
EGFR,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Esophageal cancer; pathway context: RTK signaling.
EP300,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Esophageal cancer; pathway context: Epigenetic regulation.
EPCAM,Esophageal cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Esophageal cancer; pathway context: Epithelial antigen / adhesion.
ERBB2,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Esophageal cancer; pathway context: RTK signaling.
ERBB3,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Esophageal cancer; pathway context: RTK signaling.
FBXW7,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Esophageal cancer; pathway context: Protein turnover.
HIF1A,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Esophageal cancer; pathway context: Hypoxia / angiogenesis.
HRAS,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Esophageal cancer; pathway context: RAS-MAPK signaling.
JAK1,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Esophageal cancer; pathway context: JAK-STAT / immune signaling.
JAK2,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Esophageal cancer; pathway context: JAK-STAT / immune signaling.
KEAP1,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: KEAP1 in Esophageal cancer; pathway context: Oxidative stress / NRF2.
KMT2C,Esophageal cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2C in Esophageal cancer; pathway context: Epigenetic regulation.
